error,response,target,subject
-0.065311174,3.141592654,-3.07628148,1
-0.126484173,-1.549744473,-1.4232603,1
0.222927132,1.761520421,1.538593289,1
-0.120584184,-1.914052464,-1.79346828,1
-0.125609859,-2.785406777,-2.659796918,1
0.120409855,2.574004435,2.45359458,1
-0.091760401,-1.338513073,-1.246752672,1
-0.092270888,2.950685225,3.042956113,1
0.070590536,2.689455878,2.618865341,1
-0.01050182,3.141592654,-3.131090834,1
-0.011592429,2.283235638,2.294828066,1
-0.028671754,-0.355192335,-0.326520581,1
-0.255367137,-1.971593434,-1.716226297,1
-0.098488581,2.051138343,2.149626924,1
0.009566263,-0.420860407,-0.43042667,1
0.17841824,0.322750221,0.144331981,1
-0.037249302,-0.732113032,-0.694863729,1
0.025784838,-0.859524558,-0.885309397,1
-0.060485913,2.387774113,2.448260026,1
0.181538188,1.97457615,1.793037962,1
-0.030453997,-3.005879008,-2.97542501,1
-0.07127307,-0.913917491,-0.842644421,1
0.114982671,0.556599318,0.441616647,1
-0.114159634,-2.405331111,-2.291171477,1
-0.154418251,-1.619567145,-1.465148894,1
-0.037599767,0.136539614,0.174139381,1
0.049979806,0.243684874,0.193705068,1
-0.146279826,-1.815718442,-1.669438616,1
0.039811451,2.930614037,2.890802586,1
-0.123526036,-2.908420643,-2.784894607,1
-0.166063326,1.029568183,1.19563151,1
-0.031935229,0.265103065,0.297038294,1
0.182831578,2.764117119,2.581285541,1
-0.000328206,-0.169803587,-0.169475381,1
0.048123107,2.660524158,2.612401051,1
-0.005601982,-0.724453755,-0.718851773,1
-0.192861697,-1.804213496,-1.611351798,1
-0.057288653,-2.336010756,-2.278722102,1
0.328450856,1.654468407,1.326017551,1
0.146153543,0.914949696,0.768796153,1
0.082168536,1.359465163,1.277296627,1
0.018835192,-2.694639451,-2.713474643,1
-0.054670174,-0.013244839,0.041425334,1
0.01772927,-0.387243986,-0.404973256,1
0.058651977,1.863558986,1.804907009,1
0.100848698,-2.574976725,-2.675825423,1
0.020609833,-0.728815178,-0.749425011,1
-0.002587074,2.498091545,2.500678619,1
-0.087786358,-2.67647877,-2.588692412,1
0.18202845,1.724340109,1.54231166,1
0.036808349,-0.916761079,-0.953569428,2
-0.056875611,2.968795555,3.025671166,2
0.105472434,-2.249381556,-2.35485399,2
-0.247252933,2.861139299,3.108392232,2
0.179556545,1.044458704,0.86490216,2
0.205114949,0.988891056,0.783776108,2
-0.217080713,-1.26549767,-1.048416957,2
0.205395769,-2.32714491,-2.53254068,2
-0.03731386,-3.034029271,-2.996715412,2
0.165923289,2.641435337,2.475512048,2
0.020341247,-2.878840769,-2.899182015,2
0.006001147,-2.784974238,-2.790975385,2
0.259460701,2.673768111,2.41430741,2
0.248128108,-1.654957142,-1.903085249,2
-0.012602897,-2.722393897,-2.709791001,2
0.153158163,-0.824230274,-0.977388436,2
0.044608092,-1.078498452,-1.123106543,2
0.035756433,3.086191211,3.050434778,2
0.009828426,2.756307166,2.746478739,2
0.386286285,0.906512593,0.520226308,2
-0.28355124,-2.44361784,-2.1600666,2
-0.033528707,-1.452241022,-1.418712314,2
0.023367339,3.093250422,3.069883083,2
-0.266448088,-1.667862899,-1.401414811,2
-0.009408205,1.529026944,1.538435148,2
-0.048702437,-0.23493821,-0.186235772,2
0.087848838,1.352565447,1.264716608,2
-0.033596098,-0.824528614,-0.790932515,2
-0.040052386,0.379027899,0.419080285,2
