error,nontarget_error_1,nontarget_error_2,nontarget_error_3,nontarget_error_4,nontarget_error_5,setsize,response,target,nontarget_1,nontarget_2,nontarget_3,nontarget_4,nontarget_5,subject
0.379613927,2.130785222,2.21536641,NaN,NaN,NaN,3,1.949194371,1.569580444,-1.101602857,-1.059312263,NaN,NaN,NaN,1
0.667496886,1.215102987,-0.80521267,NaN,NaN,NaN,3,2.863400771,2.195903885,-1.102340775,1.02909405,NaN,NaN,NaN,1
-2.41326663,-2.110679381,-1.03729959,NaN,NaN,NaN,3,-0.170318785,2.242947845,-1.140499083,-0.603809188,NaN,NaN,NaN,1
0.300798736,-0.319353534,0.006526406,NaN,NaN,NaN,3,1.600644857,1.29984612,0.640645661,0.803585632,NaN,NaN,NaN,1
-0.248778906,1.656705239,3.043528085,NaN,NaN,NaN,3,-1.197822523,-0.949043617,0.229441358,0.922852781,NaN,NaN,NaN,1
0.73966736,-0.050513209,1.43451496,NaN,NaN,NaN,3,0.388481992,-0.351185368,0.168984392,0.911498476,NaN,NaN,NaN,1
0.257890814,-0.818599883,-2.757286024,NaN,NaN,NaN,3,-0.901322652,-1.159213466,-0.859961267,1.312288316,NaN,NaN,NaN,1
-1.421165708,-2.855728956,-0.097111703,NaN,NaN,NaN,3,-0.055541273,1.365624435,-1.455635115,-0.076326488,NaN,NaN,NaN,1
1.699803249,0.791162716,-1.307676716,-0.374586578,-0.237373635,0.433064393,6,2.393708814,0.693905565,-1.549156889,0.543016049,1.009561118,1.078167589,1.413386603,1
-0.168689685,2.888299768,-3.049440733,-2.60114977,2.175072798,2.476493852,6,0.372675118,0.541364803,-1.511105211,-1.338382808,-1.114237326,1.273873958,1.424584485,1
-0.370156876,0.838488938,1.575265847,1.938324376,-1.929331353,-1.46053693,6,2.651635327,3.021792204,-1.396530521,-1.028142066,-0.846612802,0.361151987,0.595549199,1
1.029891923,-0.654627559,-0.592633593,-0.12332881,0.131384879,-1.258478208,6,-1.904999927,-2.934891849,-1.279813743,-1.24881676,-1.014164369,-0.886807524,1.559853586,1
-1.202304575,-2.217269064,-2.089284137,0.544198863,1.385071833,1.393908474,6,-0.58846913,0.613835445,-1.402869097,-1.338876634,-0.022135134,0.398301351,0.402719672,1
0.429718586,-2.903099107,-2.24446746,-1.15836759,0.85752284,1.905414787,6,1.221451929,0.791733342,-0.840823589,-0.511507765,0.031542169,1.039487384,1.563433358,1
1.319785246,1.986453454,3.062342193,-0.872191863,-0.00675817,0.120822692,6,1.592300874,0.272515628,-1.35221549,-0.81427112,0.360054506,0.792771352,0.856561783,1
-0.482777267,-2.316442094,-1.13426992,-1.001826206,0.1357068,1.132825947,6,1.735834236,2.218611503,-0.290303929,0.300782158,0.367004015,0.935770518,1.434330091,1
