response,pairA_1,pairA_2,pairB_1,pairB_2,subject
1,3.141592654,3.577924967,3.839724354,5.497787144,1
0,4.36332313,5.410520681,1.919862177,2.35619449,1
1,1.658062789,1.745329252,1.919862177,2.705260341,1
1,2.181661565,2.268928028,5.672320069,6.195918845,1
1,1.396263402,3.490658504,4.101523742,5.410520681,1
0,0.872664626,1.919862177,4.625122518,5.235987756,1
0,4.537856055,5.235987756,0.610865238,0.785398163,1
1,3.316125579,3.665191429,0.261799388,1.832595715,1
1,3.403392041,3.665191429,1.483529864,2.530727415,1
1,1.221730476,1.483529864,4.188790205,6.021385919,1
0,1.658062789,2.967059728,0,1.396263402,1
1,3.403392041,6.195918845,0.610865238,1.396263402,1
0,4.450589593,6.195918845,0.34906585,1.308996939,1
1,3.752457892,5.061454831,0.610865238,2.967059728,1
1,2.35619449,2.879793266,3.577924967,4.188790205,1
1,4.101523742,5.585053606,2.094395102,3.490658504,1
0,2.530727415,4.01425728,4.625122518,6.108652382,1
1,1.134464014,2.00712864,2.268928028,3.490658504,1
0,4.36332313,4.537856055,3.228859116,3.752457892,1
1,0.34906585,0.523598776,5.410520681,6.108652382,1
1,0,1.919862177,3.141592654,3.665191429,1
1,0.610865238,2.35619449,4.537856055,6.195918845,1
1,5.148721293,5.323254219,0.959931089,1.658062789,1
1,5.672320069,6.195918845,0.087266463,4.799655443,1
1,4.01425728,4.101523742,1.832595715,3.926990817,1
1,3.839724354,4.71238898,0,2.530727415,1
1,5.061454831,6.195918845,0.087266463,3.577924967,1
1,4.974188368,5.846852994,0.174532925,3.752457892,1
1,1.483529864,1.832595715,3.839724354,5.585053606,1
0,1.396263402,3.926990817,4.71238898,5.323254219,1
0,0.261799388,1.483529864,1.832595715,2.268928028,1
1,5.235987756,6.108652382,2.181661565,3.490658504,1
1,4.188790205,5.410520681,0.785398163,3.839724354,1
1,1.745329252,2.35619449,2.705260341,4.36332313,1
1,0.261799388,0.523598776,0.610865238,2.967059728,1
0,4.01425728,5.323254219,1.745329252,2.181661565,1
1,2.443460953,4.188790205,4.71238898,5.410520681,1
1,3.839724354,5.934119457,0.261799388,3.665191429,1
0,1.134464014,4.188790205,4.36332313,5.410520681,1
1,0.436332313,2.094395102,2.443460953,3.926990817,1
1,5.148721293,5.410520681,2.792526803,4.101523742,1
0,1.396263402,4.101523742,6.021385919,6.108652382,1
0,4.799655443,5.323254219,3.316125579,3.490658504,1
1,0.872664626,3.490658504,3.577924967,6.021385919,1
1,3.577924967,3.839724354,4.886921906,5.846852994,1
1,1.658062789,2.094395102,2.35619449,5.846852994,1
1,2.00712864,2.35619449,4.36332313,4.71238898,1
0,5.235987756,6.195918845,2.268928028,2.617993878,1
1,5.759586532,6.195918845,0.523598776,2.268928028,1
0,1.308996939,2.879793266,4.71238898,5.497787144,1
1,0,3.228859116,3.316125579,6.195918845,1
0,0.785398163,2.617993878,3.490658504,4.71238898,1
0,4.01425728,5.061454831,0.436332313,1.221730476,1
1,0.174532925,0.959931089,1.221730476,3.665191429,1
1,4.01425728,4.974188368,1.047197551,1.919862177,1
1,0.959931089,2.792526803,3.054326191,3.403392041,1
1,4.886921906,5.846852994,2.530727415,4.625122518,1
1,4.36332313,5.061454831,2.530727415,4.101523742,1
1,3.926990817,4.886921906,1.832595715,3.490658504,1
0,4.625122518,5.672320069,3.926990817,4.450589593,1
1,5.061454831,5.672320069,1.570796327,4.625122518,1
1,3.054326191,3.577924967,0.610865238,2.879793266,1
0,1.308996939,4.625122518,4.974188368,5.323254219,1
0,0.610865238,3.403392041,5.585053606,5.759586532,1
1,5.672320069,6.108652382,3.141592654,3.926990817,1
1,0.436332313,0.610865238,3.403392041,3.752457892,1
0,3.403392041,5.323254219,2.35619449,2.443460953,1
1,3.141592654,3.490658504,0.698131701,2.268928028,1
1,0.174532925,0.261799388,5.846852994,6.195918845,1
0,3.490658504,5.934119457,3.316125579,3.403392041,1
1,1.919862177,3.490658504,0.261799388,1.832595715,1
0,5.323254219,5.934119457,0.174532925,0.436332313,1
1,4.450589593,6.021385919,1.570796327,3.839724354,1
0,1.308996939,2.443460953,0.436332313,1.134464014,1
1,4.101523742,5.759586532,1.221730476,1.919862177,1
1,0.785398163,1.483529864,1.745329252,5.759586532,1
1,1.396263402,3.403392041,4.188790205,6.108652382,1
1,5.410520681,5.934119457,0.174532925,2.268928028,1
1,5.061454831,5.497787144,1.745329252,2.00712864,1
1,0.34906585,1.134464014,2.35619449,5.410520681,1
1,0,0.610865238,5.148721293,5.585053606,1
1,1.570796327,2.705260341,3.403392041,4.974188368,1
1,0.174532925,2.530727415,2.879793266,4.537856055,1
1,5.148721293,5.235987756,1.919862177,4.799655443,1
0,0,1.047197551,1.134464014,1.396263402,1
1,4.537856055,4.799655443,0.698131701,2.00712864,1
0,2.530727415,4.799655443,0.610865238,0.959931089,1
1,0.698131701,1.221730476,1.919862177,5.672320069,1
0,2.879793266,4.799655443,0,0.261799388,1
1,0.087266463,1.308996939,3.926990817,5.934119457,1
1,0,0.436332313,2.181661565,5.934119457,1
1,5.759586532,6.108652382,2.268928028,4.36332313,1
1,5.497787144,5.672320069,1.832595715,3.926990817,1
1,0.523598776,1.483529864,3.839724354,5.934119457,1
0,0.34906585,3.752457892,5.846852994,6.195918845,1
0,2.879793266,5.934119457,0.261799388,2.530727415,1
1,1.396263402,1.658062789,4.36332313,5.410520681,1
0,1.745329252,4.974188368,0.261799388,1.570796327,1
0,2.35619449,3.926990817,0.610865238,1.570796327,1
0,2.617993878,2.879793266,3.054326191,4.886921906,1
